# -*- conf -*-
# Cosmopolitan Libc Memory Plan

00000000-0000001f 2048kb null
00000020-0000003f 2048kb loader
00000040-00004ffb 1276mb image
00005004-00007ffb 768mb  arena
00007ffe-00007ffe 64kb   free

# address sanitizer shadow memory
00007fff-000fffff 62gb   asan
00100000-001fffff 64gb   asan
00200000-002fffff 64gb   asan
00300000-003fffff 64gb   asan
00400000-004fffff 64gb   asan
00500000-005fffff 64gb   asan
00600000-006fffff 64gb   asan
00700000-007fffff 64gb   asan
00800000-008fffff 64gb   asan
00900000-009fffff 64gb   asan
00a00000-00afffff 64gb   asan
00b00000-00bfffff 64gb   asan
00c00000-00cfffff 64gb   asan
00d00000-00dfffff 64gb   asan
00e00000-00efffff 64gb   asan
00f00000-00ffffff 64gb   asan
01000000-010fffff 64gb   asan
01100000-011fffff 64gb   asan
01200000-012fffff 64gb   asan
01300000-013fffff 64gb   asan
01400000-014fffff 64gb   asan
01500000-015fffff 64gb   asan
01600000-016fffff 64gb   asan
01700000-017fffff 64gb   asan
01800000-018fffff 64gb   asan
01900000-019fffff 64gb   asan
01a00000-01afffff 64gb   asan
01b00000-01bfffff 64gb   asan
01c00000-01cfffff 64gb   asan
01d00000-01dfffff 64gb   asan
01e00000-01efffff 64gb   asan
01f00000-01ffffff 64gb   asan
02000000-020fffff 64gb   asan
02100000-021fffff 64gb   asan
02200000-022fffff 64gb   asan
02300000-023fffff 64gb   asan
02400000-024fffff 64gb   asan
02500000-025fffff 64gb   asan
02600000-026fffff 64gb   asan
02700000-027fffff 64gb   asan
02800000-028fffff 64gb   asan
02900000-029fffff 64gb   asan
02a00000-02afffff 64gb   asan
02b00000-02bfffff 64gb   asan
02c00000-02cfffff 64gb   asan
02d00000-02dfffff 64gb   asan
02e00000-02efffff 64gb   asan
02f00000-02ffffff 64gb   asan
03000000-030fffff 64gb   asan
03100000-031fffff 64gb   asan
03200000-032fffff 64gb   asan
03300000-033fffff 64gb   asan
03400000-034fffff 64gb   asan
03500000-035fffff 64gb   asan
03600000-036fffff 64gb   asan
03700000-037fffff 64gb   asan
03800000-038fffff 64gb   asan
03900000-039fffff 64gb   asan
03a00000-03afffff 64gb   asan
03b00000-03bfffff 64gb   asan
03c00000-03cfffff 64gb   asan
03d00000-03dfffff 64gb   asan
03e00000-03efffff 64gb   asan
03f00000-03ffffff 64gb   asan
04000000-040fffff 64gb   asan
04100000-041fffff 64gb   asan
04200000-042fffff 64gb   asan
04300000-043fffff 64gb   asan
04400000-044fffff 64gb   asan
04500000-045fffff 64gb   asan
04600000-046fffff 64gb   asan
04700000-047fffff 64gb   asan
04800000-048fffff 64gb   asan
04900000-049fffff 64gb   asan
04a00000-04afffff 64gb   asan
04b00000-04bfffff 64gb   asan
04c00000-04cfffff 64gb   asan
04d00000-04dfffff 64gb   asan
04e00000-04efffff 64gb   asan
04f00000-04ffffff 64gb   asan
05000000-050fffff 64gb   asan
05100000-051fffff 64gb   asan
05200000-052fffff 64gb   asan
05300000-053fffff 64gb   asan
05400000-054fffff 64gb   asan
05500000-055fffff 64gb   asan
05600000-056fffff 64gb   asan
05700000-057fffff 64gb   asan
05800000-058fffff 64gb   asan
05900000-059fffff 64gb   asan
05a00000-05afffff 64gb   asan
05b00000-05bfffff 64gb   asan
05c00000-05cfffff 64gb   asan
05d00000-05dfffff 64gb   asan
05e00000-05efffff 64gb   asan
05f00000-05ffffff 64gb   asan
06000000-060fffff 64gb   asan
06100000-061fffff 64gb   asan
06200000-062fffff 64gb   asan
06300000-063fffff 64gb   asan
06400000-064fffff 64gb   asan
06500000-065fffff 64gb   asan
06600000-066fffff 64gb   asan
06700000-067fffff 64gb   asan
06800000-068fffff 64gb   asan
06900000-069fffff 64gb   asan
06a00000-06afffff 64gb   asan
06b00000-06bfffff 64gb   asan
06c00000-06cfffff 64gb   asan
06d00000-06dfffff 64gb   asan
06e00000-06efffff 64gb   asan
06f00000-06ffffff 64gb   asan
07000000-070fffff 64gb   asan
07100000-071fffff 64gb   asan
07200000-072fffff 64gb   asan
07300000-073fffff 64gb   asan
07400000-074fffff 64gb   asan
07500000-075fffff 64gb   asan
07600000-076fffff 64gb   asan
07700000-077fffff 64gb   asan
07800000-078fffff 64gb   asan
07900000-079fffff 64gb   asan
07a00000-07afffff 64gb   asan
07b00000-07bfffff 64gb   asan
07c00000-07cfffff 64gb   asan
07d00000-07dfffff 64gb   asan
07e00000-07efffff 64gb   asan
07f00000-07ffffff 64gb   asan
08000000-080fffff 64gb   asan
08100000-081fffff 64gb   asan
08200000-082fffff 64gb   asan
08300000-083fffff 64gb   asan
08400000-084fffff 64gb   asan
08500000-085fffff 64gb   asan
08600000-086fffff 64gb   asan
08700000-087fffff 64gb   asan
08800000-088fffff 64gb   asan
08900000-089fffff 64gb   asan
08a00000-08afffff 64gb   asan
08b00000-08bfffff 64gb   asan
08c00000-08cfffff 64gb   asan
08d00000-08dfffff 64gb   asan
08e00000-08efffff 64gb   asan
08f00000-08ffffff 64gb   asan
09000000-090fffff 64gb   asan
09100000-091fffff 64gb   asan
09200000-092fffff 64gb   asan
09300000-093fffff 64gb   asan
09400000-094fffff 64gb   asan
09500000-095fffff 64gb   asan
09600000-096fffff 64gb   asan
09700000-097fffff 64gb   asan
09800000-098fffff 64gb   asan
09900000-099fffff 64gb   asan
09a00000-09afffff 64gb   asan
09b00000-09bfffff 64gb   asan
09c00000-09cfffff 64gb   asan
09d00000-09dfffff 64gb   asan
09e00000-09efffff 64gb   asan
09f00000-09ffffff 64gb   asan
0a000000-0a0fffff 64gb   asan
0a100000-0a1fffff 64gb   asan
0a200000-0a2fffff 64gb   asan
0a300000-0a3fffff 64gb   asan
0a400000-0a4fffff 64gb   asan
0a500000-0a5fffff 64gb   asan
0a600000-0a6fffff 64gb   asan
0a700000-0a7fffff 64gb   asan
0a800000-0a8fffff 64gb   asan
0a900000-0a9fffff 64gb   asan
0aa00000-0aafffff 64gb   asan
0ab00000-0abfffff 64gb   asan
0ac00000-0acfffff 64gb   asan
0ad00000-0adfffff 64gb   asan
0ae00000-0aefffff 64gb   asan
0af00000-0affffff 64gb   asan
0b000000-0b0fffff 64gb   asan
0b100000-0b1fffff 64gb   asan
0b200000-0b2fffff 64gb   asan
0b300000-0b3fffff 64gb   asan
0b400000-0b4fffff 64gb   asan
0b500000-0b5fffff 64gb   asan
0b600000-0b6fffff 64gb   asan
0b700000-0b7fffff 64gb   asan
0b800000-0b8fffff 64gb   asan
0b900000-0b9fffff 64gb   asan
0ba00000-0bafffff 64gb   asan
0bb00000-0bbfffff 64gb   asan
0bc00000-0bcfffff 64gb   asan
0bd00000-0bdfffff 64gb   asan
0be00000-0befffff 64gb   asan
0bf00000-0bffffff 64gb   asan
0c000000-0c0fffff 64gb   asan
0c100000-0c1fffff 64gb   asan
0c200000-0c2fffff 64gb   asan
0c300000-0c3fffff 64gb   asan
0c400000-0c4fffff 64gb   asan
0c500000-0c5fffff 64gb   asan
0c600000-0c6fffff 64gb   asan
0c700000-0c7fffff 64gb   asan
0c800000-0c8fffff 64gb   asan
0c900000-0c9fffff 64gb   asan
0ca00000-0cafffff 64gb   asan
0cb00000-0cbfffff 64gb   asan
0cc00000-0ccfffff 64gb   asan
0cd00000-0cdfffff 64gb   asan
0ce00000-0cefffff 64gb   asan
0cf00000-0cffffff 64gb   asan
0d000000-0d0fffff 64gb   asan
0d100000-0d1fffff 64gb   asan
0d200000-0d2fffff 64gb   asan
0d300000-0d3fffff 64gb   asan
0d400000-0d4fffff 64gb   asan
0d500000-0d5fffff 64gb   asan
0d600000-0d6fffff 64gb   asan
0d700000-0d7fffff 64gb   asan
0d800000-0d8fffff 64gb   asan
0d900000-0d9fffff 64gb   asan
0da00000-0dafffff 64gb   asan
0db00000-0dbfffff 64gb   asan
0dc00000-0dcfffff 64gb   asan
0dd00000-0ddfffff 64gb   asan
0de00000-0defffff 64gb   asan
0df00000-0dffffff 64gb   asan
0e000000-0e0fffff 64gb   asan
0e100000-0e1fffff 64gb   asan
0e200000-0e2fffff 64gb   asan
0e300000-0e3fffff 64gb   asan
0e400000-0e4fffff 64gb   asan
0e500000-0e5fffff 64gb   asan
0e600000-0e6fffff 64gb   asan
0e700000-0e7fffff 64gb   asan
0e800000-0e8fffff 64gb   asan
0e900000-0e9fffff 64gb   asan
0ea00000-0eafffff 64gb   asan
0eb00000-0ebfffff 64gb   asan
0ec00000-0ecfffff 64gb   asan
0ed00000-0edfffff 64gb   asan
0ee00000-0eefffff 64gb   asan
0ef00000-0effffff 64gb   asan
0f000000-0f0fffff 64gb   asan
0f100000-0f1fffff 64gb   asan
0f200000-0f2fffff 64gb   asan
0f300000-0f3fffff 64gb   asan
0f400000-0f4fffff 64gb   asan
0f500000-0f5fffff 64gb   asan
0f600000-0f6fffff 64gb   asan
0f700000-0f7fffff 64gb   asan
0f800000-0f8fffff 64gb   asan
0f900000-0f9fffff 64gb   asan
0fa00000-0fafffff 64gb   asan
0fb00000-0fbfffff 64gb   asan
0fc00000-0fcfffff 64gb   asan
0fd00000-0fdfffff 64gb   asan
0fe00000-0fefffff 64gb   asan
0ff00000-0fffffff 64gb   asan
10000000-10008003 2048mb asan

# memory dedicated to mmap(NULL, ...) automation, e.g. malloc()
10008004-100fffff 62gb   automap
10100000-101fffff 64gb   automap
10200000-102fffff 64gb   automap
10300000-103fffff 64gb   automap
10400000-104fffff 64gb   automap
10500000-105fffff 64gb   automap
10600000-106fffff 64gb   automap
10700000-107fffff 64gb   automap
10800000-108fffff 64gb   automap
10900000-109fffff 64gb   automap
10a00000-10afffff 64gb   automap
10b00000-10bfffff 64gb   automap
10c00000-10cfffff 64gb   automap
10d00000-10dfffff 64gb   automap
10e00000-10efffff 64gb   automap
10f00000-10ffffff 64gb   automap
11000000-110fffff 64gb   automap
11100000-111fffff 64gb   automap
11200000-112fffff 64gb   automap
11300000-113fffff 64gb   automap
11400000-114fffff 64gb   automap
11500000-115fffff 64gb   automap
11600000-116fffff 64gb   automap
11700000-117fffff 64gb   automap
11800000-118fffff 64gb   automap
11900000-119fffff 64gb   automap
11a00000-11afffff 64gb   automap
11b00000-11bfffff 64gb   automap
11c00000-11cfffff 64gb   automap
11d00000-11dfffff 64gb   automap
11e00000-11efffff 64gb   automap
11f00000-11ffffff 64gb   automap
12000000-120fffff 64gb   automap
12100000-121fffff 64gb   automap
12200000-122fffff 64gb   automap
12300000-123fffff 64gb   automap
12400000-124fffff 64gb   automap
12500000-125fffff 64gb   automap
12600000-126fffff 64gb   automap
12700000-127fffff 64gb   automap
12800000-128fffff 64gb   automap
12900000-129fffff 64gb   automap
12a00000-12afffff 64gb   automap
12b00000-12bfffff 64gb   automap
12c00000-12cfffff 64gb   automap
12d00000-12dfffff 64gb   automap
12e00000-12efffff 64gb   automap
12f00000-12ffffff 64gb   automap
13000000-130fffff 64gb   automap
13100000-131fffff 64gb   automap
13200000-132fffff 64gb   automap
13300000-133fffff 64gb   automap
13400000-134fffff 64gb   automap
13500000-135fffff 64gb   automap
13600000-136fffff 64gb   automap
13700000-137fffff 64gb   automap
13800000-138fffff 64gb   automap
13900000-139fffff 64gb   automap
13a00000-13afffff 64gb   automap
13b00000-13bfffff 64gb   automap
13c00000-13cfffff 64gb   automap
13d00000-13dfffff 64gb   automap
13e00000-13efffff 64gb   automap
13f00000-13ffffff 64gb   automap
14000000-140fffff 64gb   automap
14100000-141fffff 64gb   automap
14200000-142fffff 64gb   automap
14300000-143fffff 64gb   automap
14400000-144fffff 64gb   automap
14500000-145fffff 64gb   automap
14600000-146fffff 64gb   automap
14700000-147fffff 64gb   automap
14800000-148fffff 64gb   automap
14900000-149fffff 64gb   automap
14a00000-14afffff 64gb   automap
14b00000-14bfffff 64gb   automap
14c00000-14cfffff 64gb   automap
14d00000-14dfffff 64gb   automap
14e00000-14efffff 64gb   automap
14f00000-14ffffff 64gb   automap
15000000-150fffff 64gb   automap
15100000-151fffff 64gb   automap
15200000-152fffff 64gb   automap
15300000-153fffff 64gb   automap
15400000-154fffff 64gb   automap
15500000-155fffff 64gb   automap
15600000-156fffff 64gb   automap
15700000-157fffff 64gb   automap
15800000-158fffff 64gb   automap
15900000-159fffff 64gb   automap
15a00000-15afffff 64gb   automap
15b00000-15bfffff 64gb   automap
15c00000-15cfffff 64gb   automap
15d00000-15dfffff 64gb   automap
15e00000-15efffff 64gb   automap
15f00000-15ffffff 64gb   automap
16000000-160fffff 64gb   automap
16100000-161fffff 64gb   automap
16200000-162fffff 64gb   automap
16300000-163fffff 64gb   automap
16400000-164fffff 64gb   automap
16500000-165fffff 64gb   automap
16600000-166fffff 64gb   automap
16700000-167fffff 64gb   automap
16800000-168fffff 64gb   automap
16900000-169fffff 64gb   automap
16a00000-16afffff 64gb   automap
16b00000-16bfffff 64gb   automap
16c00000-16cfffff 64gb   automap
16d00000-16dfffff 64gb   automap
16e00000-16efffff 64gb   automap
16f00000-16ffffff 64gb   automap
17000000-170fffff 64gb   automap
17100000-171fffff 64gb   automap
17200000-172fffff 64gb   automap
17300000-173fffff 64gb   automap
17400000-174fffff 64gb   automap
17500000-175fffff 64gb   automap
17600000-176fffff 64gb   automap
17700000-177fffff 64gb   automap
17800000-178fffff 64gb   automap
17900000-179fffff 64gb   automap
17a00000-17afffff 64gb   automap
17b00000-17bfffff 64gb   automap
17c00000-17cfffff 64gb   automap
17d00000-17dfffff 64gb   automap
17e00000-17efffff 64gb   automap
17f00000-17ffffff 64gb   automap
18000000-180fffff 64gb   automap
18100000-181fffff 64gb   automap
18200000-182fffff 64gb   automap
18300000-183fffff 64gb   automap
18400000-184fffff 64gb   automap
18500000-185fffff 64gb   automap
18600000-186fffff 64gb   automap
18700000-187fffff 64gb   automap
18800000-188fffff 64gb   automap
18900000-189fffff 64gb   automap
18a00000-18afffff 64gb   automap
18b00000-18bfffff 64gb   automap
18c00000-18cfffff 64gb   automap
18d00000-18dfffff 64gb   automap
18e00000-18efffff 64gb   automap
18f00000-18ffffff 64gb   automap
19000000-190fffff 64gb   automap
19100000-191fffff 64gb   automap
19200000-192fffff 64gb   automap
19300000-193fffff 64gb   automap
19400000-194fffff 64gb   automap
19500000-195fffff 64gb   automap
19600000-196fffff 64gb   automap
19700000-197fffff 64gb   automap
19800000-198fffff 64gb   automap
19900000-199fffff 64gb   automap
19a00000-19afffff 64gb   automap
19b00000-19bfffff 64gb   automap
19c00000-19cfffff 64gb   automap
19d00000-19dfffff 64gb   automap
19e00000-19efffff 64gb   automap
19f00000-19ffffff 64gb   automap
1a000000-1a0fffff 64gb   automap
1a100000-1a1fffff 64gb   automap
1a200000-1a2fffff 64gb   automap
1a300000-1a3fffff 64gb   automap
1a400000-1a4fffff 64gb   automap
1a500000-1a5fffff 64gb   automap
1a600000-1a6fffff 64gb   automap
1a700000-1a7fffff 64gb   automap
1a800000-1a8fffff 64gb   automap
1a900000-1a9fffff 64gb   automap
1aa00000-1aafffff 64gb   automap
1ab00000-1abfffff 64gb   automap
1ac00000-1acfffff 64gb   automap
1ad00000-1adfffff 64gb   automap
1ae00000-1aefffff 64gb   automap
1af00000-1affffff 64gb   automap
1b000000-1b0fffff 64gb   automap
1b100000-1b1fffff 64gb   automap
1b200000-1b2fffff 64gb   automap
1b300000-1b3fffff 64gb   automap
1b400000-1b4fffff 64gb   automap
1b500000-1b5fffff 64gb   automap
1b600000-1b6fffff 64gb   automap
1b700000-1b7fffff 64gb   automap
1b800000-1b8fffff 64gb   automap
1b900000-1b9fffff 64gb   automap
1ba00000-1bafffff 64gb   automap
1bb00000-1bbfffff 64gb   automap
1bc00000-1bcfffff 64gb   automap
1bd00000-1bdfffff 64gb   automap
1be00000-1befffff 64gb   automap
1bf00000-1bffffff 64gb   automap
1c000000-1c0fffff 64gb   automap
1c100000-1c1fffff 64gb   automap
1c200000-1c2fffff 64gb   automap
1c300000-1c3fffff 64gb   automap
1c400000-1c4fffff 64gb   automap
1c500000-1c5fffff 64gb   automap
1c600000-1c6fffff 64gb   automap
1c700000-1c7fffff 64gb   automap
1c800000-1c8fffff 64gb   automap
1c900000-1c9fffff 64gb   automap
1ca00000-1cafffff 64gb   automap
1cb00000-1cbfffff 64gb   automap
1cc00000-1ccfffff 64gb   automap
1cd00000-1cdfffff 64gb   automap
1ce00000-1cefffff 64gb   automap
1cf00000-1cffffff 64gb   automap
1d000000-1d0fffff 64gb   automap
1d100000-1d1fffff 64gb   automap
1d200000-1d2fffff 64gb   automap
1d300000-1d3fffff 64gb   automap
1d400000-1d4fffff 64gb   automap
1d500000-1d5fffff 64gb   automap
1d600000-1d6fffff 64gb   automap
1d700000-1d7fffff 64gb   automap
1d800000-1d8fffff 64gb   automap
1d900000-1d9fffff 64gb   automap
1da00000-1dafffff 64gb   automap
1db00000-1dbfffff 64gb   automap
1dc00000-1dcfffff 64gb   automap
1dd00000-1ddfffff 64gb   automap
1de00000-1defffff 64gb   automap
1df00000-1dffffff 64gb   automap
1e000000-1e0fffff 64gb   automap
1e100000-1e1fffff 64gb   automap
1e200000-1e2fffff 64gb   automap
1e300000-1e3fffff 64gb   automap
1e400000-1e4fffff 64gb   automap
1e500000-1e5fffff 64gb   automap
1e600000-1e6fffff 64gb   automap
1e700000-1e7fffff 64gb   automap
1e800000-1e8fffff 64gb   automap
1e900000-1e9fffff 64gb   automap
1ea00000-1eafffff 64gb   automap
1eb00000-1ebfffff 64gb   automap
1ec00000-1ecfffff 64gb   automap
1ed00000-1edfffff 64gb   automap
1ee00000-1eefffff 64gb   automap
1ef00000-1effffff 64gb   automap
1f000000-1f0fffff 64gb   automap
1f100000-1f1fffff 64gb   automap
1f200000-1f2fffff 64gb   automap
1f300000-1f3fffff 64gb   automap
1f400000-1f4fffff 64gb   automap
1f500000-1f5fffff 64gb   automap
1f600000-1f6fffff 64gb   automap
1f700000-1f7fffff 64gb   automap
1f800000-1f8fffff 64gb   automap
1f900000-1f9fffff 64gb   automap
1fa00000-1fafffff 64gb   automap
1fb00000-1fbfffff 64gb   automap
1fc00000-1fcfffff 64gb   automap
1fd00000-1fdfffff 64gb   automap
1fe00000-1fe7fffb 32gb   automap

1fe7fffc-1fefffff 32gb   _mmi
1ff00000-1ffffffb 64gb   _mmi
1ffffffc-20000003 256kb  free

20000004-200fffff 64gb   free
20100000-201fffff 64gb   free
20200000-202fffff 64gb   free
20300000-203fffff 64gb   free
20400000-204fffff 64gb   free
20500000-205fffff 64gb   free
20600000-206fffff 64gb   free
20700000-207fffff 64gb   free
20800000-208fffff 64gb   free
20900000-209fffff 64gb   free
20a00000-20afffff 64gb   free
20b00000-20bfffff 64gb   free
20c00000-20cfffff 64gb   free
20d00000-20dfffff 64gb   free
20e00000-20efffff 64gb   free
20f00000-20ffffff 64gb   free
21000000-210fffff 64gb   free
21100000-211fffff 64gb   free
21200000-212fffff 64gb   free
21300000-213fffff 64gb   free
21400000-214fffff 64gb   free
21500000-215fffff 64gb   free
21600000-216fffff 64gb   free
21700000-217fffff 64gb   free
21800000-218fffff 64gb   free
21900000-219fffff 64gb   free
21a00000-21afffff 64gb   free
21b00000-21bfffff 64gb   free
21c00000-21cfffff 64gb   free
21d00000-21dfffff 64gb   free
21e00000-21efffff 64gb   free
21f00000-21ffffff 64gb   free
22000000-220fffff 64gb   free
22100000-221fffff 64gb   free
22200000-222fffff 64gb   free
22300000-223fffff 64gb   free
22400000-224fffff 64gb   free
22500000-225fffff 64gb   free
22600000-226fffff 64gb   free
22700000-227fffff 64gb   free
22800000-228fffff 64gb   free
22900000-229fffff 64gb   free
22a00000-22afffff 64gb   free
22b00000-22bfffff 64gb   free
22c00000-22cfffff 64gb   free
22d00000-22dfffff 64gb   free
22e00000-22efffff 64gb   free
22f00000-22ffffff 64gb   free
23000000-230fffff 64gb   free
23100000-231fffff 64gb   free
23200000-232fffff 64gb   free
23300000-233fffff 64gb   free
23400000-234fffff 64gb   free
23500000-235fffff 64gb   free
23600000-236fffff 64gb   free
23700000-237fffff 64gb   free
23800000-238fffff 64gb   free
23900000-239fffff 64gb   free
23a00000-23afffff 64gb   free
23b00000-23bfffff 64gb   free
23c00000-23cfffff 64gb   free
23d00000-23dfffff 64gb   free
23e00000-23efffff 64gb   free
23f00000-23ffffff 64gb   free
24000000-240fffff 64gb   free
24100000-241fffff 64gb   free
24200000-242fffff 64gb   free
24300000-243fffff 64gb   free
24400000-244fffff 64gb   free
24500000-245fffff 64gb   free
24600000-246fffff 64gb   free
24700000-247fffff 64gb   free
24800000-248fffff 64gb   free
24900000-249fffff 64gb   free
24a00000-24afffff 64gb   free
24b00000-24bfffff 64gb   free
24c00000-24cfffff 64gb   free
24d00000-24dfffff 64gb   free
24e00000-24efffff 64gb   free
24f00000-24ffffff 64gb   free
25000000-250fffff 64gb   free
25100000-251fffff 64gb   free
25200000-252fffff 64gb   free
25300000-253fffff 64gb   free
25400000-254fffff 64gb   free
25500000-255fffff 64gb   free
25600000-256fffff 64gb   free
25700000-257fffff 64gb   free
25800000-258fffff 64gb   free
25900000-259fffff 64gb   free
25a00000-25afffff 64gb   free
25b00000-25bfffff 64gb   free
25c00000-25cfffff 64gb   free
25d00000-25dfffff 64gb   free
25e00000-25efffff 64gb   free
25f00000-25ffffff 64gb   free
26000000-260fffff 64gb   free
26100000-261fffff 64gb   free
26200000-262fffff 64gb   free
26300000-263fffff 64gb   free
26400000-264fffff 64gb   free
26500000-265fffff 64gb   free
26600000-266fffff 64gb   free
26700000-267fffff 64gb   free
26800000-268fffff 64gb   free
26900000-269fffff 64gb   free
26a00000-26afffff 64gb   free
26b00000-26bfffff 64gb   free
26c00000-26cfffff 64gb   free
26d00000-26dfffff 64gb   free
26e00000-26efffff 64gb   free
26f00000-26ffffff 64gb   free
27000000-270fffff 64gb   free
27100000-271fffff 64gb   free
27200000-272fffff 64gb   free
27300000-273fffff 64gb   free
27400000-274fffff 64gb   free
27500000-275fffff 64gb   free
27600000-276fffff 64gb   free
27700000-277fffff 64gb   free
27800000-278fffff 64gb   free
27900000-279fffff 64gb   free
27a00000-27afffff 64gb   free
27b00000-27bfffff 64gb   free
27c00000-27cfffff 64gb   free
27d00000-27dfffff 64gb   free
27e00000-27efffff 64gb   free
27f00000-27ffffff 64gb   free
28000000-280fffff 64gb   free
28100000-281fffff 64gb   free
28200000-282fffff 64gb   free
28300000-283fffff 64gb   free
28400000-284fffff 64gb   free
28500000-285fffff 64gb   free
28600000-286fffff 64gb   free
28700000-287fffff 64gb   free
28800000-288fffff 64gb   free
28900000-289fffff 64gb   free
28a00000-28afffff 64gb   free
28b00000-28bfffff 64gb   free
28c00000-28cfffff 64gb   free
28d00000-28dfffff 64gb   free
28e00000-28efffff 64gb   free
28f00000-28ffffff 64gb   free
29000000-290fffff 64gb   free
29100000-291fffff 64gb   free
29200000-292fffff 64gb   free
29300000-293fffff 64gb   free
29400000-294fffff 64gb   free
29500000-295fffff 64gb   free
29600000-296fffff 64gb   free
29700000-297fffff 64gb   free
29800000-298fffff 64gb   free
29900000-299fffff 64gb   free
29a00000-29afffff 64gb   free
29b00000-29bfffff 64gb   free
29c00000-29cfffff 64gb   free
29d00000-29dfffff 64gb   free
29e00000-29efffff 64gb   free
29f00000-29ffffff 64gb   free
2a000000-2a0fffff 64gb   free
2a100000-2a1fffff 64gb   free
2a200000-2a2fffff 64gb   free
2a300000-2a3fffff 64gb   free
2a400000-2a4fffff 64gb   free
2a500000-2a5fffff 64gb   free
2a600000-2a6fffff 64gb   free
2a700000-2a7fffff 64gb   free
2a800000-2a8fffff 64gb   free
2a900000-2a9fffff 64gb   free
2aa00000-2aafffff 64gb   free
2ab00000-2abfffff 64gb   free
2ac00000-2acfffff 64gb   free
2ad00000-2adfffff 64gb   free
2ae00000-2aefffff 64gb   free
2af00000-2affffff 64gb   free
2b000000-2b0fffff 64gb   free
2b100000-2b1fffff 64gb   free
2b200000-2b2fffff 64gb   free
2b300000-2b3fffff 64gb   free
2b400000-2b4fffff 64gb   free
2b500000-2b5fffff 64gb   free
2b600000-2b6fffff 64gb   free
2b700000-2b7fffff 64gb   free
2b800000-2b8fffff 64gb   free
2b900000-2b9fffff 64gb   free
2ba00000-2bafffff 64gb   free
2bb00000-2bbfffff 64gb   free
2bc00000-2bcfffff 64gb   free
2bd00000-2bdfffff 64gb   free
2be00000-2befffff 64gb   free
2bf00000-2bffffff 64gb   free
2c000000-2c0fffff 64gb   free
2c100000-2c1fffff 64gb   free
2c200000-2c2fffff 64gb   free
2c300000-2c3fffff 64gb   free
2c400000-2c4fffff 64gb   free
2c500000-2c5fffff 64gb   free
2c600000-2c6fffff 64gb   free
2c700000-2c7fffff 64gb   free
2c800000-2c8fffff 64gb   free
2c900000-2c9fffff 64gb   free
2ca00000-2cafffff 64gb   free
2cb00000-2cbfffff 64gb   free
2cc00000-2ccfffff 64gb   free
2cd00000-2cdfffff 64gb   free
2ce00000-2cefffff 64gb   free
2cf00000-2cffffff 64gb   free
2d000000-2d0fffff 64gb   free
2d100000-2d1fffff 64gb   free
2d200000-2d2fffff 64gb   free
2d300000-2d3fffff 64gb   free
2d400000-2d4fffff 64gb   free
2d500000-2d5fffff 64gb   free
2d600000-2d6fffff 64gb   free
2d700000-2d7fffff 64gb   free
2d800000-2d8fffff 64gb   free
2d900000-2d9fffff 64gb   free
2da00000-2dafffff 64gb   free
2db00000-2dbfffff 64gb   free
2dc00000-2dcfffff 64gb   free
2dd00000-2ddfffff 64gb   free
2de00000-2defffff 64gb   free
2df00000-2dffffff 64gb   free
2e000000-2e0fffff 64gb   free
2e100000-2e1fffff 64gb   free
2e200000-2e2fffff 64gb   free
2e300000-2e3fffff 64gb   free
2e400000-2e4fffff 64gb   free
2e500000-2e5fffff 64gb   free
2e600000-2e6fffff 64gb   free
2e700000-2e7fffff 64gb   free
2e800000-2e8fffff 64gb   free
2e900000-2e9fffff 64gb   free
2ea00000-2eafffff 64gb   free
2eb00000-2ebfffff 64gb   free
2ec00000-2ecfffff 64gb   free
2ed00000-2edfffff 64gb   free
2ee00000-2eefffff 64gb   free
2ef00000-2effffff 64gb   free
2f000000-2f0fffff 64gb   free
2f100000-2f1fffff 64gb   free
2f200000-2f2fffff 64gb   free
2f300000-2f3fffff 64gb   free
2f400000-2f4fffff 64gb   free
2f500000-2f5fffff 64gb   free
2f600000-2f6fffff 64gb   free
2f700000-2f7fffff 64gb   free
2f800000-2f8fffff 64gb   free
2f900000-2f9fffff 64gb   free
2fa00000-2fafffff 64gb   free
2fb00000-2fbfffff 64gb   free
2fc00000-2fcfffff 64gb   free
2fd00000-2fdfffff 64gb   free
2fe00000-2fefffff 64gb   free
2ff00000-30000003 64gb   free

# memory recommended for application MAP_FIXED usage
30000004-300fffff 64gb   fixedmap
30100000-301fffff 64gb   fixedmap
30200000-302fffff 64gb   fixedmap
